"ID","Índice","Usuario","Owner","Tipo","Operación","Estado","Error","Código Error","Filas Afectadas","SQL","Timestamp"
"1","1","jteller","JTELLERV7","SCRIPT","UPDATE","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","UPDATE jtellerv7.DATABASECHANGELOG SET MD5SUM ='9:646a48206a7dc270854b813344cb95fb' WHERE id = 'init-conf'","2026-03-05T18:47:57.844Z"
"2","2","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO JTELLERV7.TRANSACTION_SEND_SPEC (ID, TRANSACTION_SPEC_ID, DESCRIPTION, SERVICE_PAY_ID, REQUIRES_LOGIN, ROUTINE_LOGIN_ID, FORMAT_ID_SEND, PGM_DATA_SEND, TYPE_DATA_SEND, ROUTINE_ID, TYPE_DATA_RECEIVE, RESPONSE_FILE, PGM_DATA_RECEIVE, ANALYZE_RESPONSE, CORRELATIVE, VERSION) VALUES(999, NULL, 'Enviar transacciones generico a core byte', NULL, '0', NULL, NULL, NULL, 'Trama', NULL, 'Trama', NULL, NULL, '1', 999, 2)","2026-03-05T18:47:59.149Z"
"3","3","jteller","JTELLERV7","SCRIPT","UPDATE","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","UPDATE JTELLERV7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='status', LABEL='sts', VALUE_OK='1' WHERE ID=1","2026-03-05T18:48:00.433Z"
"4","4","jteller","JTELLERV7","SCRIPT","UPDATE","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","UPDATE JTELLERV7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='message', LABEL='message', VALUE_OK=NULL WHERE ID=2","2026-03-05T18:48:01.743Z"
"5","5","jteller","JTELLERV7","SCRIPT","UPDATE","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","UPDATE JTELLERV7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='errorCode', LABEL='error', VALUE_OK=NULL WHERE ID=3","2026-03-05T18:48:03.052Z"
"6","6","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(39, 'COMPONENTE ANGULAR', 'rutinas tipo componente Angular, incluye los componentes propios de jTeller-core y las extensiones de FE o paginas web externas al core jTeller, se asocian en el flujo de la transacción y se ejecutan por el FE en el flujo de la transacción.', 39, 1)","2026-03-05T18:48:04.375Z"
"7","7","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(40, 'APIs DEL FLUJO DE TRANSACCION', 'APIs ejecutados en los pasos del flujo de transaccion, ya sea ejecutados por FE o BE', 40, 0)","2026-03-05T18:48:05.769Z"
"8","8","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(27, 'INGRESO A OPERACION/LOGIN', 'APIs ejecutados al entrar a operar JTeller o sea al hacer LOGIN', 27, 0)","2026-03-05T18:48:07.311Z"
"9","9","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(41, 'PRE-TRASLADO', 'rutinas a ejecutarse ""antes"" de trasladar un usuario entre agencias, se ejecutan por transacción cambio de usuario.', 41, 0)","2026-03-05T18:48:08.926Z"
"10","10","jteller","JTELLERV7","SCRIPT","INSERT","FALLIDO","ORA-01017: invalid username/password; logon denied
Help: https://docs.oracle.com/error-help/db/ora-01017/","1017","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(42, 'POST-TRASLADO', 'rutinas a ejecutarse ""después"" de trasladar a usuario entre agencias, se ejecutan por transacción cambio de usuario.', 42, 0)","2026-03-05T18:48:10.288Z"
