"ID","Índice","Usuario","Owner","Tipo","Operación","Estado","Error","Código Error","Filas Afectadas","SQL","Timestamp"
"1","1","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ACTION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:11.330Z"
"2","2","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ADDITIONAL_ENTITY_FIELDS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:11.692Z"
"3","3","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AFFECT_CONDITIONED_TOTALS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:12.060Z"
"4","4","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AMOUNTS_TAKE_PHOTO_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:12.443Z"
"6","6","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.APPLICATION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:13.200Z"
"7","7","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.APPLICATIONS_SUBMENU MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:13.599Z"
"8","8","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.APPLICATIONS_USER_LEVEL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:13.975Z"
"9","9","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ASSOCIATE_TRANSACTIONS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:14.335Z"
"10","10","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ASSOCIATE_TRANSACTION_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:14.711Z"
"11","11","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AUTHORIZATION_CONTROL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:15.083Z"
"12","12","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AUTH_CONDITION_TRANSACTIONS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:15.463Z"
"13","13","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AUTH_LEVEL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:15.837Z"
"14","14","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AUTH_PERMIT_BY_TREE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:16.186Z"
"15","15","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.AUTH_TRX_REMOTE_BY_TREE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:16.564Z"
